"","year","month","date","Temp"
"1",2017,4,1,15.0221079374658
"2",2017,4,2,11.604533246223
"3",2017,4,3,8.97076129755874
"4",2017,4,4,10.4458683224114
"5",2017,4,5,10.1975829815946
"6",2017,4,6,9.7180514900171
"7",2017,4,7,8.79915231199419
"8",2017,4,8,9.55374501447659
"9",2017,4,9,12.8228353352309
"10",2017,4,10,14.1165966944869
"11",2017,4,11,8.44376349082506
"12",2017,4,12,7.91433151408341
"13",2017,4,13,8.65431919651775
"14",2017,4,14,9.65841432482091
"15",2017,4,15,8.10663094471602
"16",2017,4,16,6.26153007864622
"17",2017,4,17,6.81530375546794
"18",2017,4,18,5.72479559188054
"19",2017,4,19,5.4558198059957
"20",2017,4,20,7.43723419251393
"21",2017,4,21,10.5468863777437
"22",2017,4,22,7.85591143389127
"23",2017,4,23,7.2096392967652
"24",2017,4,24,9.92373885569373
"25",2017,4,25,6.31995015883842
"26",2017,4,26,7.83035264880715
"27",2017,4,27,9.13993611311525
"28",2017,4,28,10.2340955317147
"29",2017,4,29,8.08472341464397
"30",2017,4,30,10.0831769912182
"32",2017,5,1,12.8012626160496
"33",2017,5,2,11.2434930572014
"34",2017,5,3,13.7993890370894
"35",2017,5,4,8.85683623926235
"36",2017,5,5,8.80394900115328
"37",2017,5,6,13.1647421797808
"38",2017,5,7,12.8608809571907
"39",2017,5,8,7.89717326412006
"40",2017,5,9,7.93852146845984
"41",2017,5,10,7.92505926239573
"42",2017,5,11,12.5666355960749
"43",2017,5,12,16.2408562654323
"44",2017,5,13,18.7582887994229
"45",2017,5,14,16.0427695190603
"46",2017,5,15,14.2090247358976
"47",2017,5,16,15.2888859794696
"48",2017,5,17,20.7891587428102
"49",2017,5,18,22.497897326806
"50",2017,5,19,23.5748738119356
"51",2017,5,20,16.2543184714965
"52",2017,5,21,16.8091536785677
"53",2017,5,22,17.1293618656643
"54",2017,5,23,19.7996865970973
"55",2017,5,24,14.3378772796542
"56",2017,5,25,16.7485737512792
"57",2017,5,26,19.1361921553657
"58",2017,5,27,21.6747795845998
"59",2017,5,28,25.1134116478351
"60",2017,5,29,19.6804499148151
"61",2017,5,30,23.2796668646724
"62",2017,5,31,18.6323210141086
"63",2017,6,1,15.9817992044562
"64",2017,6,2,18.8925086928413
"65",2017,6,3,21.3394957874874
"66",2017,6,4,15.8831162845079
"67",2017,6,5,18.4401392013971
"68",2017,6,6,20.9517505091066
"69",2017,6,7,16.9922075087051
"70",2017,6,8,17.6035176322783
"71",2017,6,9,24.0947578444496
"72",2017,6,10,18.7912058723635
"73",2017,6,11,23.9331973117909
"74",2017,6,12,19.909030098326
"75",2017,6,13,17.3039756717274
"76",2017,6,14,18.2060947540862
"77",2017,6,15,21.4006267998446
"78",2017,6,16,18.5763740289363
"79",2017,6,17,18.2157010560281
"80",2017,6,18,20.5989372377872
"81",2017,6,19,22.7149435655271
"82",2017,6,20,20.2469972666443
"83",2017,6,21,17.89781979177
"84",2017,6,22,22.1088732430131
"85",2017,6,23,19.2968466745762
"86",2017,6,24,19.5649498287719
"87",2017,6,25,17.5930380301599
"88",2017,6,26,18.4637183061635
"89",2017,6,27,17.2978625704917
"90",2017,6,28,22.4136550046232
"91",2017,6,29,20.2033322578176
"92",2017,6,30,15.2491003563449
"94",2017,7,1,16.0281308236404
"95",2017,7,2,17.4734603117418
"96",2017,7,3,18.2218732058181
"97",2017,7,4,18.0879828256852
"98",2017,7,5,16.8306148327703
"99",2017,7,6,19.4466268753672
"100",2017,7,7,18.9170732565082
"101",2017,7,8,19.530737498784
"102",2017,7,9,18.8561359681144
"103",2017,7,10,20.4181904029983
"104",2017,7,11,21.3331080005732
"105",2017,7,12,18.7239621313165
"106",2017,7,13,17.3721842549746
"107",2017,7,14,17.621083038555
"108",2017,7,15,19.9006525874846
"109",2017,7,16,20.0182358059346
"110",2017,7,17,18.8535611531118
"111",2017,7,18,19.7933686290447
"112",2017,7,19,22.1390250963732
"113",2017,7,20,25.4519537329952
"114",2017,7,21,20.450804726364
"115",2017,7,22,23.6633155778864
"116",2017,7,23,22.8239258870531
"117",2017,7,24,20.1692916194179
"118",2017,7,25,16.3628567739727
"119",2017,7,26,16.4795817207552
"120",2017,7,27,21.3279583705681
"121",2017,7,28,19.163397225086
"122",2017,7,29,20.5495059681286
"123",2017,7,30,24.9275497441413
"124",2017,7,31,19.1256332717152
"125",2017,8,1,25.4543253501874
"126",2017,8,2,22.2614709912075
"127",2017,8,3,23.2353011935244
"128",2017,8,4,21.3896427666036
"129",2017,8,5,21.5676650861971
"130",2017,8,6,18.8222722332225
"131",2017,8,7,21.1125053177228
"132",2017,8,8,22.8965776448924
"133",2017,8,9,22.1440724885566
"134",2017,8,10,20.7631966581961
"135",2017,8,11,21.9968432188387
"136",2017,8,12,16.1856173376212
"137",2017,8,13,18.1669576405566
"138",2017,8,14,18.6144191465619
"139",2017,8,15,23.5932703983287
"140",2017,8,16,20.3734721207076
"141",2017,8,17,22.8099721921172
"142",2017,8,18,22.1864129321356
"143",2017,8,19,18.7231571039353
"144",2017,8,20,18.5720787029829
"145",2017,8,21,17.0920877433352
"146",2017,8,22,16.4839250082914
"147",2017,8,23,18.7029491649544
"148",2017,8,24,20.5149276935738
"149",2017,8,25,19.4179252917543
"150",2017,8,26,20.7218184974257
"151",2017,8,27,19.1427124084908
"152",2017,8,28,19.1263536007444
"153",2017,8,29,22.596345408605
"154",2017,8,30,26.1279233162169
"155",2017,8,31,21.3482646058332
